,X,Y,Homecell,manageHomecell,BT,FR,AgentID,Cap1,Cap2,Cap3,Property1,Property2
59,6,9,59,59,Cognitor,FR2,agent-6-9,0,-0.720014238,0.860007119,40,0.6692113153
60,6,10,60,60,Cognitor,FR3,agent-6-10,0,-0.390152214,0.695076107,76,0.8902633387
61,7,1,61,61,Cognitor,FR3,agent-7-1,0,-0.331315769,0.665657884,34,0.106080532
62,7,2,62,62,Cognitor,FR2,agent-7-2,0,-0.622264703,0.811132351,20,0.0829985103
63,7,3,63,63,Cognitor,FR2,agent-7-3,0,-0.836065287,0.918032643,68,0.1545052332
64,7,4,64,64,Cognitor,FR1,agent-7-4,0,-0.972318745,0.986159373,69,0.5316943087
65,7,5,65,65,Cognitor,FR3,agent-7-5,0,-1.030770676,1.015385338,73,0.2399527427
66,7,6,66,66,Cognitor,FR2,agent-7-6,0,-1.011311842,1.005655921,71,0.730333119
67,7,7,67,67,Cognitor,FR2,agent-7-7,0,-0.91397851,0.956989255,33,0.0967468856
68,7,8,68,68,Cognitor,FR2,agent-7-8,0,-0.73895234,0.86947617,31,0.279242687
69,7,9,69,69,Cognitor,FR2,agent-7-9,0,-0.486559818,0.743279909,49,0.7525496333
70,7,10,70,70,Cognitor,FR2,agent-7-10,0,-0.157271244,0.578635622,55,0.1885857495
71,8,1,71,71,Cognitor,FR1,agent-8-1,0,-0.02154197,0.510770985,60,0.2414659789
72,8,2,72,72,Cognitor,FR2,agent-8-2,0,-0.311723975,0.655861988,19,0.1970394409
73,8,3,73,73,Cognitor,FR2,agent-8-3,0,-0.52494941,0.762474705,74,0.8551467684
74,8,4,74,74,Cognitor,FR2,agent-8-4,0,-0.660820571,0.830410286,43,0.7053945177
75,8,5,75,75,Cognitor,FR3,agent-8-5,0,-0.719083771,0.859541885,53,0.450964203
76,8,6,76,76,Cognitor,FR2,agent-8-6,0,-0.699630123,0.849815062,31,0.572985246
77,8,7,77,77,Cognitor,FR3,agent-8-7,0,-0.602495887,0.801247944,49,0.6967995273
78,8,8,78,78,Cognitor,FR1,agent-8-8,0,-0.427862352,0.713931176,68,0.8433463507
79,8,9,79,79,Cognitor,FR2,agent-8-9,0,-0.176055271,0.588027636,60,0.3461284033
80,8,10,80,80,Cognitor,FR3,agent-8-10,0,0.152456145,0.423771928,25,0.2381186661
81,9,1,81,81,Cognitor,FR1,agent-9-1,0,-0.331315769,0.665657884,66,0.154485738
82,9,2,82,82,Cognitor,FR3,agent-9-2,0,-0.622264703,0.811132351,33,0.0325650006
83,9,3,,,,,agent-9-2,0,-0.836065287,0.918032643,,
84,9,4,,,,,agent-9-2,0,-0.972318745,0.986159373,,
85,9,5,,,,,agent-9-2,0,-1.030770676,1.015385338,,
86,9,6,86,86,Cognitor,FR3,agent-9-6,0,-1.011311842,1.005655921,36,0.172214032
87,9,7,87,87,Cognitor,FR3,agent-9-7,0,-0.91397851,0.956989255,52,0.2102564579
88,9,8,88,88,Cognitor,FR2,agent-9-8,0,-0.73895234,0.86947617,55,0.5367834269
89,9,9,89,89,Cognitor,FR3,agent-9-9,0,-0.486559818,0.743279909,59,0.7393215027
90,9,10,90,90,Cognitor,FR1,agent-9-10,0,-0.157271244,0.578635622,53,0.1600836407
91,10,1,91,91,Cognitor,FR2,agent-10-1,0,-0.02154197,0.510770985,69,0.4026207583
92,10,2,92,92,Cognitor,FR2,agent-10-2,0,-0.311723975,0.655861988,24,0.0450974115
93,10,3,93,93,Cognitor,FR3,agent-10-3,0,-0.52494941,0.762474705,33,0.3527734271
94,10,4,94,94,Cognitor,FR3,agent-10-4,0,-0.660820571,0.830410286,61,0.8215309881
95,10,5,95,95,Cognitor,FR3,agent-10-5,0,-0.719083771,0.859541885,19,0.0365930841
96,10,6,96,96,Cognitor,FR3,agent-10-6,0,-0.699630123,0.849815062,27,0.7267482969
97,10,7,97,97,Cognitor,FR1,agent-10-7,0,-0.602495887,0.801247944,26,0.3086395449
98,10,8,98,98,Cognitor,FR1,agent-10-8,0,-0.427862352,0.713931176,22,0.5984856085
99,10,9,99,99,Cognitor,FR2,agent-10-9,0,-0.176055271,0.588027636,52,0.8938264031
100,10,10,100,100,Cognitor,FR2,agent-10-10,0,0.152456145,0.423771928,77,0.1367318669
